Capture,NDVI_Mean,NDVI_Std,NDVI_Min,NDVI_Max,NDVI_Median,NDVI_P25,NDVI_P75,NDRE_Mean,NDRE_Std,NDRE_Min,NDRE_Max,NDRE_Median,NDRE_P25,NDRE_P75,GNDVI_Mean,GNDVI_Std,GNDVI_Min,GNDVI_Max,GNDVI_Median,GNDVI_P25,GNDVI_P75,SAVI_Mean,SAVI_Std,SAVI_Min,SAVI_Max,SAVI_Median,SAVI_P25,SAVI_P75,MSAVI_Mean,MSAVI_Std,MSAVI_Min,MSAVI_Max,MSAVI_Median,MSAVI_P25,MSAVI_P75,OSAVI_Mean,OSAVI_Std,OSAVI_Min,OSAVI_Max,OSAVI_Median,OSAVI_P25,OSAVI_P75,CIGREEN_Mean,CIGREEN_Std,CIGREEN_Min,CIGREEN_Max,CIGREEN_Median,CIGREEN_P25,CIGREEN_P75,CIREDGE_Mean,CIREDGE_Std,CIREDGE_Min,CIREDGE_Max,CIREDGE_Median,CIREDGE_P25,CIREDGE_P75,Vegetation_Coverage,Healthy_Percentage,Stress_Percentage,Brightness,Contrast,Blur_Score,Canopy_Density,Disease_Hotspot
IMG_0157,0.4837431055020837,0.37286570489589477,0.33922768432645034,0.4915899185326209,0.4700324972457378,0.5391361148232237,0.4589267721514271,0.41544155811001776,0.2961560892162751,0.34670700516644626,0.4793007641528644,0.4140872444917938,0.43207136962390924,0.42447365491869193,0.3907981138828711,0.3284890931059039,0.23928839738136354,0.5786257103783785,0.3921540472702843,0.3966525326273417,0.3848143669136087,0.48374422445990206,0.3728697690316909,0.33922707690363696,0.49159086403143615,0.47003386972344063,0.5391373732987175,0.45892773678075216,0.5961553575792276,0.32859236656906765,0.5665226623709452,0.520833333333333,0.5884816753926703,0.6441351888667992,0.571072319201995,0.48374347398891493,0.37286706095657896,0.33922723125636356,0.4915902590867822,0.4700328443898855,0.5391367620100308,0.458927130065944,0.3090586481845582,0.26858196566518217,0.20636066590037316,0.388426659698485,0.3270963783032642,0.33347497078212085,0.3167874004066289,0.28416475792327545,0.36621141640960986,0.29900324618592045,0.2900944475712313,0.28550462100809193,0.30389234583798475,0.2887878658697183,0.16308895658427403,0.0234775142848684,0.7243890737201418,0.8014301171622997,0.45653284654440457,0.3900800780096091,0.054489871796637245,0.8711743412366828
IMG_0158,0.597330871035453,0.21657025210719372,0.2011948626237987,0.6873679438645568,0.5939073288863229,0.7180420266263964,0.524962226977106,0.26954117150533385,0.23417603573990586,0.17637330571049592,0.44478150231822955,0.25949262121181715,0.3123991051488054,0.2467240920532515,0.6669985273849021,0.21879620493022411,0.1798456660151153,0.889812779512448,0.690221920179523,0.7187169086598022,0.6229702921225914,0.5973314371933388,0.21657137878345822,0.20119461905264258,0.6873744208460004,0.5939073387551485,0.7180436323205045,0.5249625501177071,0.7174525891277589,0.1909795948381674,0.3906421615288862,0.708333333333333,0.7015706806282723,0.7972166998011928,0.6359102244389028,0.5973310440393464,0.21657059394818812,0.20119480317697525,0.6873701938961663,0.5939075271313144,0.7180428440644805,0.5249622981864636,0.5668657085337593,0.25715311785468925,0.15344767464386733,0.7888098589969695,0.6266978651342938,0.6603890133845465,0.5505176183255791,0.16541337288453306,0.24471910162208155,0.14683822558435589,0.2623364469073682,0.1653660939207771,0.20679514172386282,0.1527744731320738,0.1785983823137277,0.015306273499718743,0.6346541558193005,0.2617801110524377,0.0683307145557745,0.1344061228208999,0.04302363476959657,0.9568833299312911
IMG_0159,0.6659900037293798,0.29642441438945677,0.35243306979678213,0.5646406272100872,0.6486003824021709,0.7669070154717603,0.6060713657321818,0.37548203030857796,0.29614056451332815,0.24389217291633924,0.5183290404894265,0.3676381904801092,0.3974496860365485,0.37663362908586917,0.7128270499135029,0.2812833333887068,0.20245665939477764,0.882486678469725,0.7250600320909724,0.7194994235064092,0.7104347127096869,0.6659911146841104,0.29642745325094233,0.3524326464899006,0.5646463401098609,0.6486019797643562,0.7669087346218056,0.6060724271839772,0.7720356602677698,0.16981684886485726,0.5808742769275829,0.6041666666666661,0.7476439790575917,0.834990059642147,0.7082294264339152,0.6659903749433063,0.29642535555690364,0.35243301776703984,0.564642374657645,0.6486007891644303,0.766907879676871,0.6060716343564644,0.6394014092493665,0.3435929694668986,0.17344173371734106,0.7764550229348895,0.665214929773595,0.6612574248992037,0.6452178032946672,0.2512196879757207,0.35856535836471026,0.20587670362513721,0.32328135819582277,0.24738899348033894,0.2745759380488394,0.2496078624791518,0.30671719579498535,0.0429434230393463,0.4976588041286846,0.48687584904448267,0.21339880894968272,0.23500700367780622,0.09431875037295108,0.900504313726959
IMG_0160,0.525153564450964,0.42751422572747666,0.1863726768146643,0.5509634552078766,0.5071693723574229,0.5670640523915341,0.5078770713852696,0.49508707857904966,0.36586019234427036,0.4576233213383585,0.6018821890635233,0.49302131404508637,0.4920203849425989,0.5221389558456738,0.4487928428598963,0.3881066402646406,0.13624912331723715,0.6116380055596822,0.4504909153493385,0.4150243442486302,0.48642295644686573,0.5251547976964929,0.42751876862859994,0.18637202367689065,0.5509642341198107,0.5071709424959654,0.5670653704645147,0.507878401953543,0.6308558879209014,0.3488514395672251,0.3683825144614483,0.583333333333333,0.624083769633508,0.6699801192842942,0.6209476309226932,0.5251539664566518,0.42751575600247405,0.18637255472290848,0.5509637058867525,0.5071697705142071,0.5670647235840969,0.5078773019842708,0.3828649844349596,0.3407604375355476,0.11535032093918307,0.4214407855999587,0.381834729161933,0.3506210390616361,0.4124772377949516,0.3616294618645807,0.5145597755419644,0.40409834862907434,0.4016085340992995,0.3547692080768577,0.3572437908148413,0.37560867443060125,0.21707216561487433,0.04876099120703437,0.6615438259807199,0.8140041498621431,0.45770338796463333,0.5158372541910367,0.0848675966344896,0.7592711889481698
IMG_0161,0.5610191220883787,0.5031461273640578,0.2660659353305248,0.7624612671942033,0.5334788736062391,0.5716372454571476,0.5555631965003058,0.26286498274975445,0.45554968752002556,0.2917892794030106,0.34837098448227444,0.2713152643547693,0.2687533946370971,0.29813584136265386,0.40885336990487925,0.46036358159433244,0.2520576635546359,0.8684716691596006,0.4108177928057034,0.37357196354481187,0.45019178084893985,0.5610196942870584,0.5031468322472306,0.26606575622821493,0.7624684487180202,0.5334803654049969,0.5716387542851132,0.5555633645923106,0.6591948425904908,0.34199335219662685,0.47997363989163055,0.7916666666666661,0.6471204188481676,0.6739562624254473,0.6633416458852868,0.5610193033549897,0.5031463365757691,0.2660657333228049,0.7624638000846362,0.533479256609572,0.5716379825892279,0.5555632139103571,0.36689775947744663,0.4211718503719489,0.21787598961629362,0.753329243497353,0.34441834860036535,0.31216856135853616,0.37770328852545587,0.17099835667962424,0.3554728492406406,0.24876450635164904,0.19181042233922524,0.17390741194378767,0.17416640191395943,0.18953506278661603,0.27547371057798753,0.13352281138052519,0.6000055056117916,0.5566938974097932,0.29983809234273123,0.24901324796345323,0.15294436258646726,0.9356058974555845
IMG_0162,0.7198524616087221,0.732171376449892,0.269009514646819,0.8578269918567765,0.7029936113010766,0.670630530142591,0.7580334169002583,0.08806211223642224,0.7580495443131399,0.17375232563431187,0.26746220267333554,0.10235492023293802,0.029473062504103198,0.19614112248841742,0.44175729765981253,0.7584125117253128,0.15692077813312588,0.8292352986484297,0.47014170528235005,0.27516211830640785,0.6626510695676693,0.7198520973813853,0.7321690334417863,0.26900872624173644,0.8578349531537226,0.7029931125501252,0.6706320121734023,0.7580343750458979,0.7739054474241961,0.41889563812310127,0.4836347660540381,0.875,0.7916230366492147,0.7594433399602385,0.8329177057356608,0.7198523698634309,0.7321706857082317,0.2690094301515744,0.8578299269043357,0.7029928669226435,0.6706312891324373,0.7580338105030774,0.5004628126655336,0.6761364959238814,0.13334073796639512,0.6919289017371074,0.40067446274900387,0.2241462943458613,0.5928400452093485,0.06722066951352634,0.4249863336192381,0.1445791007162418,0.1394796800042482,0.060565524218170685,0.017127626443244615,0.11842474644279674,0.5508326801716266,0.42250643929301,0.3460041056133645,0.36422776389370815,0.37190281678983933,0.257602794272836,0.4602193181766021,0.9501632043865744
IMG_0163,0.7789789861397324,0.9209833346421359,0.15651634210082088,0.822543349554183,0.7815143487623986,0.7443544850865185,0.8561575904756216,0.1575125187766599,0.9450913920564854,0.23313453580914212,0.5075284270602944,0.12810172073248488,0.04879150205470051,0.29256372716931855,0.5152360368849631,0.9815022797219372,0.13502833843348894,0.8598286312312795,0.5554940047432703,0.20647416885746428,0.9138828720857307,0.7789788406286158,0.9209830716797682,0.1565158552015884,0.8225481809563946,0.7815124081515148,0.744355858711918,0.8561554143726786,0.7919823504929132,0.6082673759335414,0.32078787435015,0.833333333333333,0.8523560209424085,0.8180914512922465,0.9052369077306732,0.7789789627340103,0.920983424294515,0.1565163348549059,0.8225446303892787,0.7815135831751541,0.7443552388915461,0.8561563761571775,0.6922630000104171,0.9640068509983617,0.11429206111405277,0.7393903457820726,0.48495799426740577,0.16528930800767033,0.8872127256180194,0.13354280570525312,0.7477215199886593,0.19636045691145032,0.3138965144841431,0.07669860849237256,0.028592481642881473,0.18545638644262488,0.6853656762849778,0.8022618941883529,0.24662912363768885,0.339110838895307,0.39803990914139126,0.3393768790360993,0.6786745433931433,0.876573288413893
IMG_0164,0.7366278016751957,1.0,0.2186217406443256,0.8335616083328135,0.7397756921971617,0.6514148952103664,0.8446782370071655,0.21370208393332543,1.0,0.15228939434072997,0.5639456604497632,0.19259422254008535,0.0955319248851032,0.3554150525181157,0.5164298537091626,1.0,0.1930324496950968,0.9530922701460374,0.5475959495999116,0.20123368982696793,0.9244196920237883,0.7366279073991845,1.0,0.21862115339378008,0.833568836192216,0.7397778246110165,0.6514162346532718,0.8446742772094773,0.7422643984546767,0.7220757555038045,0.41597715457274653,0.8541666666666661,0.8209424083769634,0.7435387673956262,0.8952618453865336,0.7366278876095402,1.0,0.21862173641640403,0.8335639840308553,0.7397762685850067,0.6514156012771851,0.8446765185005735,0.7070808865915231,1.0,0.16508853272029844,0.90382506957938,0.47698668007000933,0.16088214156702418,0.9006579603309502,0.18073848042093932,0.8736487694314046,0.12616952284490557,0.3647305929028594,0.11883962221868624,0.057145453065479634,0.23287218654857184,0.6602277042914744,0.7912484826953252,0.29173450366909703,0.4037245188620582,0.46667759631704114,0.3811575126473347,0.6625079754150659,0.8464839426734059
IMG_0165,0.7059549729226937,0.8812420333797508,0.1578797175010016,0.8318664578074881,0.6988267054565798,0.6528769208768415,0.7837829812548922,0.15126165910248957,0.894093989384616,0.1971344417919214,0.4540838136819527,0.12752922516305404,0.058656940801267154,0.2757737914575009,0.32767636827148966,0.944953901663527,0.12769285082579795,0.8475404520459922,0.3485727971030793,0.04807659502748585,0.6702152277852977,0.7059546254092697,0.8812403715331536,0.15787931284442536,0.8318726299016688,0.6988276243909108,0.6528787857319645,0.7837788660094128,0.7351699760514484,0.6253596003561767,0.3231309950940908,0.8541666666666661,0.7895287958115185,0.7445328031809144,0.8516209476309227,0.705954888134269,0.8812416683277686,0.15787949516930633,0.8318688008088708,0.6988268599300722,0.6528777962407023,0.7837815717396993,0.4549979235556371,0.7933807559306887,0.10794250216327228,0.7199825068903515,0.2873275983827147,0.03701318130119524,0.6010270211202954,0.12333273237407077,0.6635097442205158,0.16481852082231985,0.2696764254955904,0.07633573847558076,0.03452198741056289,0.17330743482495126,0.5788165517910098,0.5142256565118275,0.3454365032548654,0.4016724817521573,0.46286882577829874,0.31732041366863134,0.5153701740132288,0.8889648366177085
IMG_0166,0.7477583097599444,0.874305704124462,0.2126434082650377,0.8459413905769133,0.7426375957390932,0.6988381333919177,0.8153409345019734,0.19338180897060928,0.9944836310988356,0.20625944652195471,0.6010013605109461,0.16537453178691608,0.07252937199080667,0.3394445518272764,0.5610041293623402,0.9421363270395954,0.22750128063284158,0.9676122399184308,0.5978733237126014,0.28370951158998037,0.9259024783502964,0.7477578804373614,0.8743042507300298,0.21264495551698293,0.845949209281458,0.7426353997925828,0.698839566509613,0.8153380008000276,0.7731634875907312,0.5828783750725411,0.407483341875961,0.8541666666666661,0.8230366492146598,0.7823061630218687,0.8753117206982544,0.7477582011285511,0.8743053660346696,0.21264370855468373,0.8459441420750231,0.7426356936019304,0.6988388871671937,0.8153403727862062,0.7305887981969301,0.9588875424399355,0.1957780676490719,0.9325155942421429,0.5283523828324808,0.23161544723275496,0.9025579015460353,0.16473575791181921,0.8397990873565606,0.17276947544819032,0.4007256681158829,0.10074316974619257,0.04294690680376806,0.22052431591355443,0.6269221134966103,0.655964117594813,0.2934976103023105,0.30003055796044675,0.37542237108076576,0.3232719896120187,0.5914980927856346,0.8551273144029978
IMG_0167,0.7010443915106471,0.8124186411591885,0.18096529093732938,0.8727435697172932,0.6801638057994369,0.6799975964408574,0.7468859327322621,0.24076542951371294,0.8894232068585644,0.23101248045266942,0.679835751105033,0.2180385884156832,0.14728317797556467,0.36232507915345297,0.5415109408593045,0.8711611243453484,0.13014028247857912,0.9515143696935389,0.5660386135560119,0.3419755353189366,0.8322325963703235,0.7010439287282053,0.8124175301254835,0.18096501436510115,0.872751728639793,0.6801628098533397,0.6799991005490762,0.746883759224049,0.7424626041717023,0.5545504743014106,0.360035146811159,0.875,0.7738219895287959,0.7673956262425446,0.8229426433915211,0.7010442471879466,0.8124182751057372,0.1809651393861058,0.8727463274659253,0.6801633785505938,0.6799983666389685,0.7468837154516416,0.6744093267628218,0.896535807350133,0.11005902181353244,0.900762550383193,0.4956566587876015,0.28341584764129113,0.7861916866803912,0.19131913277901974,0.8015763308539436,0.19448837557761944,0.4852381987607685,0.13618344310099964,0.09017534862769822,0.2382805077455938,0.530092035198009,0.5397163750481095,0.38207241714709694,0.28894618979025033,0.4125145703531165,0.2509726894229484,0.4746875243852619,0.8537293560027941
IMG_0168,0.7862384626024307,0.8661420582102421,0.2898641870792207,0.830544908091126,0.7785593873971652,0.7517230414050697,0.8504103354016801,0.22447701565964406,0.9407423221703353,0.2414397237093926,0.5535255009976923,0.19794988005201763,0.12253119042471117,0.34895223216092086,0.5458188158046628,0.9266356797248166,0.16055306698565408,0.9835724915853388,0.5864054046940377,0.27245596709342507,0.8967876168417009,0.7862381639230317,0.8661410753079981,0.28986618709662526,0.8305512758300266,0.7785588301708481,0.7517243753180152,0.8504081219224449,0.8073093451270164,0.5426106477407008,0.5097019843303799,0.833333333333333,0.8502617801047121,0.8240556660039761,0.9002493765586035,0.7862383840063366,0.8661419411847833,0.2898649623302729,0.8305470009571261,0.7785578806985031,0.7517237193846777,0.8504088213561237,0.7042513190847374,0.9389264059089029,0.13651551744178558,0.9651481091309496,0.516505174251654,0.22178840750914208,0.865601731802001,0.18401185634671685,0.8412895086686563,0.20370361313253627,0.354994685233548,0.12245535088620013,0.07418576246239372,0.22785005451013085,0.6848663105925321,0.781152855493383,0.2501422283046124,0.29793665431103966,0.3249157211614035,0.2971400967624453,0.6498115736469335,0.8487714258426609
