,NDVI_Mean,NDVI_Std,NDVI_Min,NDVI_Max,NDVI_Median,NDVI_P25,NDVI_P75,NDRE_Mean,NDRE_Std,NDRE_Min,NDRE_Max,NDRE_Median,NDRE_P25,NDRE_P75,GNDVI_Mean,GNDVI_Std,GNDVI_Min,GNDVI_Max,GNDVI_Median,GNDVI_P25,GNDVI_P75,SAVI_Mean,SAVI_Std,SAVI_Min,SAVI_Max,SAVI_Median,SAVI_P25,SAVI_P75,MSAVI_Mean,MSAVI_Std,MSAVI_Min,MSAVI_Max,MSAVI_Median,MSAVI_P25,MSAVI_P75,OSAVI_Mean,OSAVI_Std,OSAVI_Min,OSAVI_Max,OSAVI_Median,OSAVI_P25,OSAVI_P75,CIGREEN_Mean,CIGREEN_Std,CIGREEN_Min,CIGREEN_Max,CIGREEN_Median,CIGREEN_P25,CIGREEN_P75,CIREDGE_Mean,CIREDGE_Std,CIREDGE_Min,CIREDGE_Max,CIREDGE_Median,CIREDGE_P25,CIREDGE_P75,Vegetation_Coverage,Healthy_Percentage,Stress_Percentage,Brightness,Contrast,Blur_Score,Canopy_Density,Disease_Hotspot
NDRE_Max,0.17486148037667223,0.09075007875730859,-0.31340366492732863,0.22644586581560028,0.17299905394699874,0.13602256132122925,0.18289998972866653,0.20231852626467292,0.11601185389986475,-0.09310199454049285,1.0,0.1927533907073525,0.15277984069969328,0.21713228642426602,0.17424564901352943,0.05248714127896327,-0.31485409838414935,0.3449323412889186,0.16785102558910697,0.13721946784702366,0.18841270885276415,0.1748613816822117,0.09074914262464968,-0.31340442857346257,0.22644687131210375,0.17299885654918742,0.13602267330768908,0.18289938658589025,0.16145559696806766,-0.06705505246150784,-0.31532319174161805,0.2255057064669291,0.16278606506764828,0.12925046516723449,0.17198366245379526,0.174861453933289,0.09074976348223251,-0.3134039440432851,0.2264462613532882,0.17299896095637782,0.13602261378271094,0.18289974036021786,0.18942917928565078,0.152352458744716,-0.31582145975809195,0.3163257587737062,0.1622791587474863,0.1375315557253172,0.1814596852560436,0.2568917039128566,0.31490526491984755,-0.08086607050805154,0.9797084622016955,0.22378982126001165,0.17997153501822188,0.2560736741350629,0.18685896646982045,0.17849719955911117,-0.20408767283082083,-0.19730766993588675,-0.07939557745700711,-0.08340322714823212,0.1932036623703472,-0.3134169681000671
NDRE_Median,-0.13272122907438152,0.0797820428824214,0.4914664622162756,-0.04669490941058801,-0.16660708502667743,-0.22775151478063071,-0.06344920912125926,0.997328542083004,0.03111878717810911,0.7464408422707033,0.1927533907073525,1.0,0.9424800909261858,0.9516797465916611,-0.21853379263766726,-0.0572016621339869,0.4656524330337459,-0.3266220196777962,-0.23298572591047684,-0.20139079020841413,-0.21078833761393412,-0.13271957449384628,0.07978885873758816,0.4914643278601507,-0.04669648363440886,-0.16660548339132195,-0.22775155354386464,-0.06344607691342714,-0.11024330838063286,-0.1659386836901152,0.5282343483792241,-0.04701279922729157,-0.14878375480207473,-0.20040164037944588,-0.05888301177367802,-0.13272069770040001,0.07978422691803995,0.4914657328540817,-0.04669543692756295,-0.1666065158115626,-0.22775150866509078,-0.06344810117065099,-0.2670647326802684,-0.2214545690558303,0.457141038379391,-0.35732298343653185,-0.2479913086748144,-0.22388149316554556,-0.22801475007610167,0.974232204178556,0.5088991862895006,0.7420602232675776,0.17713903583538998,0.9858645331773297,0.925987224376663,0.9503656724891346,-0.0348804712124603,-0.13494022150281754,0.09777412899655726,0.6099929694142493,-0.033704257073409696,0.5609500701093667,-0.055524470115393465,-0.8371166971074606
NDRE_P25,-0.16506735737334288,-0.17458794864449056,0.4972951508292175,-0.09997177553790118,-0.1971192875764731,-0.1647750753188,-0.17509536141932333,0.9359078792984896,-0.2558583643140892,0.7568015843145252,0.15277984069969328,0.9424800909261858,1.0,0.8007683310062169,-0.13566733819760407,-0.2952888519195647,0.4569716980661497,-0.3605345546777735,-0.14358486167063902,-0.026781215953250736,-0.25310639586683203,-0.16506581793850256,-0.17458174427700993,0.49729358147015107,-0.09997344521333341,-0.19711761014035728,-0.16477512098159242,-0.1750924238221023,-0.11320388030946132,-0.2766592433332834,0.5169045366205326,-0.0968749681740357,-0.1695803367355456,-0.14029535911028623,-0.15593824482097773,-0.16506686508481286,-0.17458596260471937,0.4972946236249305,-0.09997234185825235,-0.19711865125516467,-0.1647750731439782,-0.17509427528489083,-0.242710146104547,-0.3936780560357307,0.4508158535954878,-0.38640128914742555,-0.15595833177084667,-0.05049436834394813,-0.2711778696194133,0.8877895536835968,0.267375129933604,0.7566036196547459,0.15789704424997492,0.940153293118199,0.9851617993192884,0.8140103979983117,-0.19827661340032549,-0.275702630446561,0.2206502336156801,0.5488239045480598,-0.046001725603216526,0.43361495324169774,-0.21986492488765583,-0.6945235317648613
NDRE_P75,-0.12671427902704707,0.30332176299598246,0.4315802853628647,-0.028379280888829683,-0.1540031683941573,-0.2946370280370861,0.009057858581843263,0.9595698439282014,0.30831452657767455,0.6721631809409266,0.21713228642426602,0.9516797465916611,0.8007683310062169,1.0,-0.2752238184949538,0.19406937715702952,0.4294236117690528,-0.27052319879547576,-0.2925307199454278,-0.34889519278070813,-0.1453859149148086,-0.1267127117984293,0.3033286624866735,0.4315779831542728,-0.028380562974269077,-0.15400185937309085,-0.29463703862847085,0.009060795364855097,-0.13602845073573105,-0.006335661648066818,0.4823330027454751,-0.031781542944223445,-0.14848808399229715,-0.26799645076386075,-0.001811411855296652,-0.12671377381585108,0.3033239777587268,0.43157948961779236,-0.02837970164527809,-0.15400274183250406,-0.29463701505442297,0.00905885807333595,-0.25880288625665876,-0.014754232069372614,0.4194903127823056,-0.3025958362459923,-0.3095579224751495,-0.3687282242020523,-0.16057216520396453,0.9657944203503925,0.7060036144781682,0.6646929532300345,0.18427629697932157,0.9294500789856353,0.7857460682007428,0.986562076562146,0.08926330891276388,0.004839871989132866,0.009028314007581677,0.6162302096423007,-0.01242276919272441,0.6281188977299832,0.08336081700622995,-0.8986818270585668
GNDVI_Mean,0.4588951004672999,-0.12098962301729795,-0.15273562629162651,0.3528025367331391,0.45198692347800323,0.5467649011988492,0.35272265584113904,-0.22322918760490404,-0.2585631486059879,-0.13382262009901474,0.17424564901352943,-0.21853379263766726,-0.13566733819760407,-0.2752238184949538,1.0,-0.23314873369780992,-0.10419021506628304,0.62306556261533,0.9973021910160933,0.937712955132684,0.900243556597242,0.45889455783924504,-0.12099373267874095,-0.15273406761861552,0.3528055026284005,0.4519863470160565,0.5467645631957141,0.3527215157106981,0.4618796402797884,-0.22896986284763163,-0.17728025987960336,0.3585045107876173,0.4449626762264818,0.5186909154824091,0.3636899327267792,0.45889492642862034,-0.12099095426159186,-0.1527350796615923,0.35280349965771335,0.45198675324071425,0.5467647820286896,0.3527222620251018,0.9654797451060482,0.3004488897955788,-0.09707961191989797,0.6258141533919159,0.9951086856918611,0.9346857263967727,0.8951724978649159,-0.21351143335627515,-0.23928026990359136,-0.12488564863637722,0.19408161654503073,-0.18510057828455995,-0.11232946527442858,-0.2372062651914227,0.26895652286949384,0.22803507404396067,-0.37948074767130086,-0.6169172495146058,-0.11437907906314743,-0.6167366050427833,0.22478643465040993,0.19847830983738768
GNDVI_Std,-0.2338925161640699,0.6402477138375603,-0.1635782992833422,-0.13044242130348221,-0.22846415948043075,-0.39728349530761575,-0.05493433698911526,-0.026310372164574804,0.9238766304477459,-0.18922461506318913,0.05248714127896327,-0.0572016621339869,-0.2952888519195647,0.19406937715702952,-0.23314873369780992,1.0,-0.1456638105779546,0.16994037670273615,-0.22783066594793056,-0.5253879442083436,0.18254234105109177,-0.23389275771318305,0.640249173986031,-0.1635773824533383,-0.13044238539763311,-0.22846506031593353,-0.3972832063860679,-0.05493512896852958,-0.3212698671995275,0.7022312067746951,-0.10533200684913192,-0.13745231353648785,-0.24604696046592459,-0.3883955821409144,-0.08505569014053485,-0.23389258687008374,0.6402482113069643,-0.16357796077012052,-0.13044238944033693,-0.2284646147010706,-0.3972834110853836,-0.05493475240885018,0.014182365032658146,0.8374732767910404,-0.1532659904443286,0.15985367639978781,-0.24475281362625062,-0.5285452540489135,0.18357301592128247,0.08249480632125855,0.7404614694267074,-0.1975609031240227,0.005109835256160294,-0.07021138725130757,-0.28284316607155996,0.16582140200913661,0.09262587549362994,0.32759209667882633,0.025558109532481228,0.11482012198263485,0.24502296188214112,0.23827480246392088,0.21316114938830927,-0.27850766629969415
GNDVI_Min,-0.15096354020023167,-0.03878338678727326,0.628220011190019,-0.15306513035483044,-0.16919255166321684,-0.1840273410521684,-0.11669255961747171,0.46544731320146054,-0.06148469844302633,0.561223561871399,-0.31485409838414935,0.4656524330337459,0.4569716980661497,0.4294236117690528,-0.10419021506628304,-0.1456638105779546,1.0,-0.46090358564698897,-0.11032067717469617,-0.06453139483961153,-0.13697899611486386,-0.15096250122060872,-0.038778201418041676,0.6282190833837775,-0.15306649649366752,-0.1691914508223227,-0.18402748448713854,-0.1166903214689175,-0.1260544224020485,-0.10623896288191498,0.629507552662268,-0.1502422287813937,-0.1531984521597223,-0.16314805521742828,-0.10993777932618487,-0.1509632103901532,-0.03878171998092885,0.6282197095237907,-0.15306565397005154,-0.16919213985980744,-0.1840273798132053,-0.116691737640158,-0.17306424252545466,-0.24104006477466805,0.9987563266443849,-0.4797111921922205,-0.12977651886668004,-0.09316827888713168,-0.15566720218917143,0.41238666612998653,0.12383200449890822,0.5483934520033481,-0.3103968085478553,0.42980819618721416,0.4186709147372272,0.40095860982122306,-0.10961896298775284,-0.1496912891166399,0.15889388243023406,0.4867279190891687,-0.04841647032223876,0.34906199481725725,-0.11497018981663577,-0.3041138964056123
GNDVI_Max,0.4768658939280781,0.3062863867036458,-0.4702579402451185,0.527119748528667,0.4824723152484763,0.44947018257033355,0.475978347953746,-0.32853381405606547,0.09828342011537151,-0.4071039876534715,0.3449323412889186,-0.3266220196777962,-0.3605345546777735,-0.27052319879547576,0.62306556261533,0.16994037670273615,-0.46090358564698897,1.0,0.6103219246117723,0.4729140866447857,0.6925147982278238,0.4768652071839252,0.30628104124686056,-0.4702560586820577,0.5271222010222618,0.482471635595748,0.4494703968691265,0.47597677676577227,0.43343930003594666,0.12379598811519271,-0.4736167621553454,0.524084571446656,0.4722912916514871,0.437565347336129,0.4727340536932741,0.4768656788447087,0.30628465055186527,-0.4702573060559561,0.5271205982967273,0.48247202944115225,0.4494702421027344,0.4759777592816707,0.6930158950923663,0.5415728087094622,-0.45572246218108575,0.9834304208201025,0.6058059929785983,0.4772270714021787,0.6910367567318673,-0.2672914331407839,0.0009238567362743411,-0.39753018148081426,0.3336385200981148,-0.28982265435444576,-0.32261270208889536,-0.23547632507187083,0.4409699155567484,0.4981722604029826,-0.4849238660570266,-0.6234746288734369,0.1740533101694998,-0.5545815553738866,0.45777816538162597,0.1512881423738466
GNDVI_Median,0.4384311236661069,-0.14916036404423313,-0.1511928966700684,0.33156502185094894,0.43227248945071506,0.5371665361225082,0.32420697167193296,-0.23695839750821204,-0.2644721180664736,-0.1376929370366834,0.16785102558910697,-0.23298572591047684,-0.14358486167063902,-0.2925307199454278,0.9973021910160933,-0.22783066594793056,-0.11032067717469617,0.6103219246117723,1.0,0.9370759025890202,0.8980917785980941,0.43843054729960673,-0.1491645144124945,-0.15119139022245726,0.33156806192567934,0.432271871170856,0.5371661898260578,0.3242057577527935,0.4441544357249339,-0.23536237005561397,-0.1776473569279796,0.3375983530962426,0.4255806604403364,0.5089112825675518,0.3354047223794636,0.4384309392909324,-0.14916170734534875,-0.15119236202915046,0.3315660068803387,0.43227229763976766,0.5371664124847415,0.32420654440921604,0.9645103237701029,0.3017067693272796,-0.10323607992459073,0.6164919910970429,0.997326481417198,0.9335478742197377,0.8942036545425028,-0.22695885555267015,-0.25155743294449734,-0.12845769762684947,0.189066315330339,-0.19827783744740557,-0.11846251629245959,-0.25435744865639837,0.2409933711437543,0.21399393072009398,-0.35211314055376564,-0.6153647353964489,-0.12610546866785594,-0.6157753909672037,0.20351853482902268,0.21342348253088675
GNDVI_P25,0.4174097603303276,-0.36274155727704677,-0.09132178892584955,0.29529431352666374,0.4086551478151643,0.5717248673076843,0.2503106711344107,-0.21536022309905298,-0.5354563701724994,-0.08747317821046002,0.13721946784702366,-0.20139079020841413,-0.026781215953250736,-0.34889519278070813,0.937712955132684,-0.5253879442083436,-0.06453139483961153,0.4729140866447857,0.9370759025890202,1.0,0.6940657409769758,0.41740926346251717,-0.36274562568155944,-0.09132033810046265,0.29529664870905514,0.40865485381697736,0.5717245155119413,0.250309755665133,0.451085350096929,-0.39343183761103345,-0.13136905946440403,0.3032489155221187,0.40955429747845146,0.5428582143948889,0.27137253604730854,0.4174095980250572,-0.36274288061908055,-0.09132128652025245,0.2952950616559257,0.40865513012092153,0.5717247463507847,0.25031041183368774,0.826122181701936,-0.005043616536586503,-0.05661136445079562,0.47529413828786027,0.9404945732872103,0.9971067796330736,0.6883509208428168,-0.24025027079876163,-0.4580203586699639,-0.07642426693772697,0.17145029654631083,-0.1654688549360564,-0.011068614725963145,-0.3033356462199709,0.13094044097354582,0.049016300560276636,-0.2677311521929095,-0.5860292874524232,-0.15314607756782064,-0.6388476791781396,0.06328793167514375,0.2924724396981013
